C00521492,GERARD FOR PRESIDENT COMMITTEE,P,P20004925
C00521898,THIRD TELEPATHIC EFFORT COMMITTEE,P,P20004933
C00525527,EUGENE DYKES CAMPAIGN FUND,P,P20004982
C00526178,LITON MARY SOSA RATY,P,P20005054
C00526475,JACOBSON4PRESIDENT 2016,P,P60004801
C00527630,FRENEMIES OF COLIN TEBERG,P,P20005120
C00531830,RICK ROGERS FOR PRESIDENT 2012,P,
C00532507,REV PAMELA M PINKNEY ETC FOR USA PRESIDENT(ESS) 2012,P,P20005203
C00532663,DOUG SHREFFLER DEMOCRAT AND THE NEXT PRESIDENT OF THE UNITED STATES,P,P20005229
C00532754,JOAN FM MALONE REPRESENTATIVE FOR GOD AND AMERICA,P,
C00536367,JACK FELLURE CAMPAIGN COMMITTEE,P,P20000089
C00536375,MICHAEL KINLAW FOR PRESIDENT,P,P60004819
C00541896,TIM KALEMKARIAN P20 COMMITTEE,P,P60003175
C00542613,JEROBOAN FOR PRESIDENT,P,P60004900
C00545251,SHERLENE IS IT,P,P60004884
C00546424,DR TERRY JONES 2016,P,P20003877
C00547521,PAUL TAPE JR FOR PRESIDENT,P,P60004918
C00548552,COMMITTEE FOR REPUBLICAN PRESIDENTIAL EZEKIEL GEORGE CROTZER,P,P60004934
C00548800,BRIAN RUSSELL FOR PRESIDENT,P,P60004942
C00549923,THOMAS F WINTERBOTTOM FOR PRESIDENT,P,P00003244
C00550061,AMERICAN PEOPLE,P,P20002861
C00550079,EZEKIEL CROTZER REPUBLICAN FOR PRESIDENT,P,P60004934
C00550111,JUNE LLOYD ORGANIZING AMERICA 2016,P,P60004991
C00551994,DAVID HENDRIX FOR PRESIDENT 2016,P,P60005006
C00552059,DILLONOMIC COMMITTEE,P,P60005022
C00552158,BARRY L JOHNSON CTE,P,P60005048
C00552729,MICHAEL W HUBBELL FOR PRESIDENCY,P,P60005071
C00552836,MICHAEL STEINBERG FOR PRESIDENT,P,P60005055
C00553107,JERRY LEONARD CAMPAIGN COMMITTEE,P,P60005089
C00553206,COMMITTEE TO ELECT MICHAEL BICKELMEYER,P,P00004861
C00554790,DUTTER FOR PRESIDENT,P,P60005105
C00554998,NICHOLAS A SOPKOVICH FOR PRESIDENT,P,P60005113
C00556852,JOHNNIE C CAMPBELL,P,P60005147
C00556951,WE THE PEOPLE FOR CLARK 2016,P,P60005154
C00557405,MR PAUL W DEBOW (PCC),P,P60005162
C00557504,REESE PIERLUISI,P,P60005121
C00557744,PAUL CANNADAY COMMITTEE,P,P60005188
C00558999,ELAINE WHIGHAM-WILLIAMS FOR PRESIDENT 2016,P,P60005204
C00559864,TODD RICHARD GLORE FOR US PRESIDENT 2016,P,P20003901
C00560250,GEORGE BAILEY FOR PRESIDENT 2016 INCORPORATION,P,P80003957
C00560318,CITIZENS FOR DORIS WALKER FOR PRESIDENT 2016,P,P60005196
C00560813,COMMITTEE TO ELECT BARTHOLOMEW JAMES LOWER,P,P60005253
C00561613,OLE SAVIOR U.S. PRESIDENTIAL CANDIDATE 2016 REPUBLICAN PARTY GOP,P,P80003239
C00562389,LET US ELECT JAMES T LAW FOR PRESIDENT 2016,P,P60005287
C00562512,PAUL W DEBOW COMMITTEE OF ONE,P,P60005162
C00562637,COMMITTEE TO ELECT SAM SLOAN,P,P20004537
C00562728,KERRY BOWERS FOR PRESIDENT COMMITTEE,P,P60005279
C00563536,FOX FOR PRESIDENT EXPLORATORY COMMITTEE,P,P60005303
C00563908,FIRST LADY PRESIDENT OF THE UNITED STATES,P,P60005329
C00564096,LAST AMERICA,P,P40000820
C00564476,ROGER JEWELL FOR PRESIDENT 2016,P,P60002458
C00564484,FRIENDS OF DANIEL DEAN,P,P40003592
C00564880,AMERICAN PROGRESSIVE (REPUBLICAN),P,P40003584
C00564930,AMERICAN FREEDOM PARTY,P,P40003600
C00565101,GEORGE WASHINGTON POLITICAL PARTY,P,P80004328
C00565267,COMMITTEE TO ELECT STUART ROSS FARBER PRESIDENT OF THE UNITED STATES OF AMERICA,P,P60005352
C00565564,ROLAND MENARD,P,P20004297
C00565754,DEBORAH KIMZEY COMMITTEE TO ELECT,P,
C00565952,COMMITTEE TO ELECT SAMMY M BROWN POTUS 2016,P,P60002771
C00566125,DALE HOINOSKI FOR PRESIDENT 2016,P,P80005101
C00566166,RUBY ADMINISTRATION,P,P60005394
C00566927,ED BAKER FOR PRESIDENT,P,P60005428
C00567578,JEFF BOSS FOR PRESIDENT 2016,P,
C00567743,CHRISTOPHER HILL FOR PRESIDENT,P,P20002838
C00568576,DUMMETT FOR PRESIDENT 2016,P,P20002499
C00568972,NEW WHITE PARTY; THE,P,P60005477
C00569400,DALE CHRISTENSEN 2016,P,P60005501
C00569442,HARLEY BROWN FOR PRESIDENT CAMPAIGN COMMITTEE,P,P00004275
C00569459,PAVILACK FOR US PRESIDENT,P,P60005519
C00569467,SCOTT SMITH FOR PRESIDENT 2016,P,P60005493
C00569780,ALDRIDGE FOR PRESIDENT,P,P60005543
C00569897,UNITED EMRITS OF AMERICA,P,P60005535
C00570077,UNIFIED COMMITTEE FOR SUCH A TIME AS THIS TO ELECT SHELIA MARIAH BOLAR TO THE 2016 US PRES,P,P60005550
C00570127,COMMITTEE TO ELECT JOHN WOOD AKA CONSTITUTIONAL RIGHT BY THE PEOPLE/FOR THE PEOPLE; THE,P,P60005568
C00570184,RICHARD PETER FOR PRESIDENT,P,P60005634
C00570192,MARY AKU QUARTEY ELECTION CAMPAIGN COMMITTEE,P,P60006244
C00570358,COMMITTEE TO ELECT CHARLES P ANDREWS III,P,P60005592
C00570689,BLASS FOR PRESIDENT,P,P60005618
C00570879,MICHAEL PETYO FOR PRESIDENT 2016,P,
C00571224,TOM WELLS LOVING AND OBEDIENT CHILD OF THE LORD GOD,P,P00003160
C00571232,BONPASSE FOR PRESIDENT COMMITTEE,P,P60005642
C00571307,ANDY CAFFREY FOR PRESIDENT COMMITTEE,P,P60005683
C00571471,MARC ALLAN FELDMAN - VOTES NOT FOR SALE,P,P60005725
C00571489,PRESIDENTIAL COMMITTEE BISHOP JULIAN LEWIS JR,P,P60005717
C00571612,TOM IRWIN FOR PRESIDENT,P,P60006210
C00571653,SHOS MUSIC COMMITTEE TO ELECT SHO MUHAMMAD FOR PRESIDENT,P,P60005733
C00572008,HILL FOR PRESIDENT,P,P60005758
C00572032,WILLITA D BUSH FOR PRESIDENT EXPLORATORY COMMITTEE,P,P60005766
